model,epoch,type:P,type:R,type:F1,PerpInd:P,PerpInd:R,PerpInd:F1,PerpOrg:P,PerpOrg:R,PerpOrg:F1,Target:P,Target:R,Target:F1,Victim:P,Victim:R,Victim:F1,Weapon:P,Weapon:R,Weapon:F1,mAvg:P,mAvg:R,mAvg:F1
BERT-Tiny,8,100.00,1.99,3.90,66.67,1.17,2.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,0.74,1.46
BERT-Tiny,25,82.86,28.86,42.80,28.07,9.36,14.04,12.82,3.97,6.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.70,9.73,15.85
BERT-Tiny,50,78.57,38.31,51.51,23.46,11.11,15.08,8.96,4.76,6.22,9.68,2.04,3.37,20.00,1.00,1.90,0.00,0.00,0.00,37.59,13.05,19.38
BERT-Tiny,27,93.10,26.87,41.70,33.96,10.53,16.07,11.43,3.17,4.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.80,9.36,15.65
BERT-Tiny,52,82.05,31.84,45.88,32.35,12.87,18.41,16.95,7.94,10.81,8.57,2.04,3.30,25.00,2.00,3.70,0.00,0.00,0.00,40.56,12.44,19.04
BERT-Tiny,48,78.49,36.32,49.66,28.75,13.45,18.33,10.45,5.56,7.25,6.45,1.36,2.25,20.00,1.00,1.90,0.00,0.00,0.00,38.41,13.05,19.49
BERT-Tiny,39,76.72,44.28,56.15,25.51,14.62,18.59,10.45,5.56,7.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.47,14.90,21.78
BERT-Tiny,42,83.33,34.83,49.12,26.39,11.11,15.64,12.07,5.56,7.61,3.70,0.68,1.15,28.57,2.00,3.74,0.00,0.00,0.00,39.76,12.19,18.66
BERT-Tiny,37,78.26,26.87,40.00,27.59,9.36,13.97,8.89,3.17,4.68,0.00,0.00,0.00,16.67,1.00,1.89,50.00,1.49,2.90,37.81,9.36,15.00
BERT-Tiny,40,80.26,30.35,44.04,32.76,11.11,16.59,10.00,3.97,5.68,5.88,1.36,2.21,25.00,3.00,5.36,33.33,1.49,2.86,39.06,11.21,17.42
BERT-Tiny,35,80.26,30.35,44.04,27.87,9.94,14.66,12.20,3.97,5.99,0.00,0.00,0.00,28.57,2.00,3.74,0.00,0.00,0.00,41.87,10.47,16.75
BERT-Tiny,46,83.33,32.34,46.59,29.85,11.70,16.81,17.24,7.94,10.87,7.14,2.04,3.17,12.50,1.00,1.85,0.00,0.00,0.00,38.37,12.19,18.50
BERT-Tiny,33,76.83,31.34,44.52,34.92,12.87,18.80,10.00,3.17,4.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.18,10.96,17.64
BERT-Tiny,44,82.35,34.83,48.95,28.99,11.70,16.67,12.70,6.35,8.47,7.14,1.36,2.29,20.00,1.00,1.90,0.00,0.00,0.00,40.40,12.44,19.02
BERT-Tiny,31,82.61,28.36,42.22,27.42,9.94,14.59,17.07,5.56,8.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.75,9.98,16.10
BERT-Tiny,70,79.59,38.81,52.17,31.71,15.20,20.55,15.19,9.52,11.71,9.43,3.40,5.00,15.38,2.00,3.54,0.00,0.00,0.00,37.39,15.15,21.56
BERT-Tiny,72,76.72,44.28,56.15,23.47,13.45,17.10,13.48,9.52,11.16,9.09,3.40,4.95,9.09,1.00,1.80,0.00,0.00,0.00,35.04,16.01,21.98
BERT-Tiny,98,74.55,40.80,52.73,29.21,15.20,20.00,16.87,11.11,13.40,10.00,3.40,5.08,22.22,2.00,3.67,0.00,0.00,0.00,37.61,15.89,22.34
BERT-Tiny,74,77.59,44.78,56.78,28.28,16.37,20.74,13.41,8.73,10.58,5.45,2.04,2.97,8.33,1.00,1.79,0.00,0.00,0.00,36.44,16.38,22.60
BERT-Tiny,76,76.64,40.80,53.25,26.97,14.04,18.46,13.41,8.73,10.58,7.69,2.72,4.02,13.33,2.00,3.48,0.00,0.00,0.00,35.24,15.15,21.19
BERT-Tiny,90,74.77,39.80,51.95,31.87,16.96,22.14,16.87,11.11,13.40,12.00,4.08,6.09,18.18,2.00,3.60,0.00,0.00,0.00,38.19,16.13,22.68
BERT-Tiny,78,76.70,39.30,51.97,26.67,14.04,18.39,13.10,8.73,10.48,7.41,2.72,3.98,12.50,1.00,1.85,50.00,1.49,2.90,35.19,14.78,20.82
BERT-Tiny,92,75.00,41.79,53.67,27.78,14.62,19.16,15.48,10.32,12.38,10.20,3.40,5.10,36.36,4.00,7.21,0.00,0.00,0.00,37.86,16.13,22.63
BERT-Tiny,94,75.89,42.29,54.31,27.47,14.62,19.08,16.87,11.11,13.40,12.00,4.08,6.09,27.27,3.00,5.41,0.00,0.00,0.00,38.11,16.38,22.91
BERT-Tiny,96,73.15,39.30,51.13,28.74,14.62,19.38,17.95,11.11,13.73,11.32,4.08,6.00,9.09,1.00,1.80,0.00,0.00,0.00,36.87,15.39,21.72
BERT-Tiny,13,72.46,24.88,37.04,20.83,5.85,9.13,11.54,2.38,3.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.57,7.76,13.12
BERT-Tiny,66,77.45,39.30,52.15,30.00,15.79,20.69,16.67,9.52,12.12,4.44,1.36,2.08,12.50,1.00,1.85,0.00,0.00,0.00,38.05,14.90,21.42
BERT-Tiny,11,68.63,17.41,27.78,18.75,3.51,5.91,29.41,3.97,6.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.54,5.67,10.08
BERT-Tiny,64,78.00,38.81,51.83,26.37,14.04,18.32,12.68,7.14,9.14,6.98,2.04,3.16,11.11,1.00,1.83,0.00,0.00,0.00,36.39,14.16,20.39
BERT-Tiny,88,74.75,36.82,49.33,28.40,13.45,18.25,17.57,10.32,13.00,10.87,3.40,5.18,25.00,4.00,6.90,0.00,0.00,0.00,37.42,14.66,21.06
BERT-Tiny,17,71.60,28.86,41.13,17.24,5.85,8.73,25.00,6.35,10.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.53,9.36,15.28
BERT-Tiny,62,76.72,44.28,56.15,25.51,14.62,18.59,13.92,8.73,10.73,3.23,0.68,1.12,25.00,2.00,3.70,0.00,0.00,0.00,38.55,15.76,22.38
BERT-Tiny,15,88.46,11.44,20.26,19.05,2.34,4.17,20.00,2.38,4.26,10.00,0.68,1.27,0.00,0.00,0.00,0.00,0.00,0.00,40.79,3.82,6.98
BERT-Tiny,60,74.04,38.31,50.49,27.38,13.45,18.04,11.39,7.14,8.78,6.52,2.04,3.11,11.11,1.00,1.83,0.00,0.00,0.00,35.09,13.92,19.93
BERT-Tiny,86,75.96,39.30,51.80,30.59,15.20,20.31,14.47,8.73,10.89,7.14,2.72,3.94,9.09,1.00,1.80,0.00,0.00,0.00,36.34,14.90,21.14
BERT-Tiny,19,71.58,33.83,45.95,23.29,9.94,13.93,14.89,5.56,8.09,0.00,0.00,0.00,40.00,2.00,3.81,0.00,0.00,0.00,39.17,11.58,17.87
BERT-Tiny,84,78.38,43.28,55.77,29.03,15.79,20.45,15.85,10.32,12.50,10.34,4.08,5.85,14.29,2.00,3.51,0.00,0.00,0.00,37.50,16.63,23.04
BERT-Tiny,82,78.18,42.79,55.31,31.91,17.54,22.64,15.29,10.32,12.32,8.47,3.40,4.85,7.69,1.00,1.77,0.00,0.00,0.00,37.09,16.63,22.96
BERT-Tiny,68,74.55,40.80,52.73,29.21,15.20,20.00,17.28,11.11,13.53,7.69,2.72,4.02,0.00,0.00,0.00,0.00,0.00,0.00,36.31,15.52,21.74
BERT-Tiny,80,76.32,43.28,55.24,27.37,15.20,19.55,15.48,10.32,12.38,8.33,3.40,4.83,10.00,1.00,1.82,0.00,0.00,0.00,36.36,16.26,22.47
BERT-Tiny,75,77.45,39.30,52.15,29.11,13.45,18.40,23.29,13.49,17.09,7.55,2.72,4.00,10.53,2.00,3.36,0.00,0.00,0.00,37.99,15.39,21.91
BERT-Tiny,77,77.98,42.29,54.84,31.82,16.37,21.62,19.05,12.70,15.24,10.71,4.08,5.91,8.33,1.00,1.79,0.00,0.00,0.00,38.75,16.75,23.39
BERT-Tiny,71,73.83,39.30,51.30,28.41,14.62,19.31,11.69,7.14,8.87,4.76,1.36,2.12,20.00,2.00,3.64,0.00,0.00,0.00,36.11,14.41,20.60
BERT-Tiny,99,73.39,39.80,51.61,29.55,15.20,20.08,16.87,11.11,13.40,9.80,3.40,5.05,25.00,2.00,3.70,0.00,0.00,0.00,37.24,15.64,22.03
BERT-Tiny,73,80.00,37.81,51.35,28.57,14.04,18.82,17.65,9.52,12.37,4.35,1.36,2.07,11.11,1.00,1.83,0.00,0.00,0.00,37.95,14.16,20.63
BERT-Tiny,95,75.00,38.81,51.15,28.57,14.04,18.82,15.12,10.32,12.26,8.51,2.72,4.12,20.00,2.00,3.64,0.00,0.00,0.00,36.34,14.90,21.14
BERT-Tiny,97,74.07,39.80,51.78,27.91,14.04,18.68,17.95,11.11,13.73,9.43,3.40,5.00,30.00,3.00,5.45,0.00,0.00,0.00,37.39,15.52,21.93
BERT-Tiny,91,75.89,42.29,54.31,32.61,17.54,22.81,17.44,11.90,14.15,14.00,4.76,7.11,23.08,3.00,5.31,0.00,0.00,0.00,39.55,17.24,24.01
BERT-Tiny,93,75.89,42.29,54.31,28.57,15.20,19.85,16.88,10.32,12.81,11.54,4.08,6.03,25.00,3.00,5.36,0.00,0.00,0.00,38.55,16.38,22.99
BERT-Tiny,79,71.68,40.30,51.59,27.66,15.20,19.62,11.63,7.94,9.43,7.69,2.72,4.02,28.57,2.00,3.74,0.00,0.00,0.00,34.75,15.15,21.10
BERT-Tiny,63,76.29,36.82,49.66,28.95,12.87,17.81,19.74,11.90,14.85,7.32,2.04,3.19,11.11,1.00,1.83,0.00,0.00,0.00,38.33,14.16,20.68
BERT-Tiny,16,76.79,21.39,33.46,11.36,2.92,4.65,27.27,7.14,11.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.58,7.02,11.92
BERT-Tiny,89,77.88,43.78,56.05,27.66,15.20,19.62,16.67,11.90,13.89,8.93,3.40,4.93,23.08,3.00,5.31,0.00,0.00,0.00,37.23,16.87,23.22
BERT-Tiny,61,72.32,40.30,51.76,25.81,14.04,18.18,11.39,7.14,8.78,5.13,1.36,2.15,16.67,1.00,1.89,0.00,0.00,0.00,35.56,14.41,20.51
BERT-Tiny,14,60.76,23.88,34.29,14.58,4.09,6.39,15.15,3.97,6.29,0.00,0.00,0.00,25.00,1.00,1.92,0.00,0.00,0.00,33.89,7.51,12.30
BERT-Tiny,67,74.51,37.81,50.17,24.71,12.28,16.41,11.76,6.35,8.25,4.08,1.36,2.04,11.11,1.00,1.83,0.00,0.00,0.00,34.29,13.30,19.17
BERT-Tiny,12,70.00,13.93,23.24,24.00,3.51,6.12,13.64,2.38,4.05,10.00,0.68,1.27,33.33,1.00,1.94,0.00,0.00,0.00,38.61,4.80,8.54
